package_name,package_subtitle,version,programming_language
atlas.skew,"``A Skewness Coefficient for Bounded Variables"".",3.0.6,R
atlas.acti,"``The Atlas Career Type Indicator"".",2.1.10,R
atlas.efa,"``Automated Exploratory Factor Analysis"".",2.1.2,R
atlas.match,"``Quantitative Career Matching"".",2.1.1,R
atlas.eqvl,"``A Multi-Purpose Equivalence Coefficient"".",1.2.0,R
atlas.misc,"``Miscellaneous Helper Functions"".",1.2.0,R
atlas.ftools,"``Factor Analysis Tools"".",1.1.1,R
atlas.class,"``A Bounded Variable Classifier"".",1.1.0,R
atlas.kcoef,"``Statistical Analysis of Human Capital"".",1.1.0,R
atlas.gene,"``A Professional Profile Generality Coefficient"".",1.0.4,R
atlas.comp,"``A Professional Competence Coefficient"".",1.0.3,R
atlas.plot,"``Automated Plotting in R"".",1.0.3,R
atlas.kind,"``An Indispensability Coefficient for Human Capital Analyses"".",1.0.2,R
atlas.employ,"``An Employability Coefficient"".",1.0.0,R
atlas.fstatics,"``Factor-Analytic Comparative Statics"".",1.0.0,R
atlas.intc,"``A Career Interchangeability Coefficient"".",1.0.0,R
atlas.letters,"``Letter-Shaped Profiles: A Complete Generalization of 'T-Shaped Skills'"".",1.0.0,R
atlas.notiq,"``Accurate IQ Approximations"".",1.0.0,R
atlas.text,"``Dynamic Text Generation"".",1.0.0,R
nbs.data,"``Standardized Financial Statements of Publicly Traded Companies"".",0.2.1,R
atlas.evol,"``An Evolutionary Model of Occupations"".",0.1.0,R
